"Asset Type","Asset ID","Location","UPS/Frame serial number","Equipment Brand","Equipment Model","Current Capacity (kva)","Customer asset number","UPS Type","Cold Start","Service Level","Result"
"UPS","2797","Ghooli WPS Zone Master 5","08100794280001A","Powershield","Powershield Centurion 3KL RM","3kva","W5116815","Online",,"Annual Major Service","Failed"
"UPS","11738","Marvel Loch Water Corp","83222209500438","Powershield","PSCE2000","2kVA",,"Online",,"Annual Major Service","Passed"
"UPS","8466","Mount Roe Dam","83222006100058","Powershield","Centurion 2000","2kVA",,"Online","Yes","Annual Major Service","Passed"
"UPS","4902","Barbalin Chl","2D031FBB50","Eaton","9155-10-S-0","10kVA","W5017105","Online",,"Annual Major Service","Failed"
"UPS","2777","Bruce Rock Chl","RX032A0020","Powerware","91202000A","2kva","W5018430","Online",,"Annual Major Service","Failed"
"UPS","2838","Merredin Chl","302322","Powerware","PW9305-15I-N-0","15kva","W5007136","Online",,"Annual Major Service","Failed"
"UPS","4770","Waddouring Water Tank, Ammonia Control Room","2J331FBB33","Eaton","9155-10-S-0-64x0Ah","10kVA",,"Online",,"Annual Major Service","Passed"
"UPS","5736","Bullfinch Chl","GH321A0043","Eaton","PW9130G6000T-XLAU","6kva",,"Online",,"Annual Major Service","Failed"
"UPS","5737","Koolyanobbin Chl","GH321A0064","Eaton","PW9130G6000T-XLAU","6kva",,"Online",,"Annual Major Service","Failed"
"UPS","5756","Kellerberin Chl","GJ051A0644","Eaton","PW9130G2000T-XLAU","2kva",,"Online",,,"Passed"
"UPS","5713","Koonkoobing","GJ354A0335","Eaton","PW9130G2000T-XLAU","2Kva","W5191298","Online",,"Annual Major Service","Passed"
"UPS","5717","Trayning chl","GH321A0053","Eaton","PW9130G6000T-XLAU","6Kva","W5190850","Online","Yes","Annual Major Service","Passed"
"UPS","5718","Kununoppin chl","GH383A0516","Eaton","PW9130G6000T-XLAU","6Kva","W5190846","Online",,"Annual Major Service","Passed"
"UPS","8450","Waddouring Chlorination","83321904101748","Powershield","Centurion 3000","3kVA",,"Online","Yes","Annual Major Service","Failed"
"UPS","9075","Mukinbudin chl ups wwtp","PK473A2862","Eaton","PW9130G2000T-XLAU","2kva",,"Online",,"Annual Major Service","Passed"
"UPS","9078","Narembeen wwtp","PN085A0488","Eaton","9130","2kva",,"Online",,"Annual Major Service","Passed"
"UPS","9941","Narembeen Chl","83222106100597","Powershield","Centurion 2000","2KvA",,"Online",,"Annual Major Service","Passed"
"UPS","9945","Bencubbin Chl","83222106100603","PowerShield","Centurion 2000","2KvA",,"Online",,"Annual Major Service","Passed"
"UPS","10157","Beacon","83621905101264","Powershield","Centurion 6000","6kVA","W5195138","Online",,"Annual Major Service","Passed"
"UPS","11727","Merredin Control room UPS 2","83621910100019","Powershield","Centurion 6000","6Kva",,"Online","Yes","Annual Major Service","Passed"
"UPS","11851","Corrigin Chlorinator","GC14P240009","Eaton","9SX 2000i AU","2 kVA",,"Online",,"Annual Major Service","Passed"
"UPS","11861","Ghooli WSC Valve","23013187510015","ABB","UPS PowerValue 11T G2 6 kVA B2","6kVA",,"Online","Yes","Annual Major Service","Failed"